UUT_KERNEL,AIE_VARIANT,DATA_TYPE,DIM_ROWS,DIM_COLS,NUM_FRAMES,CASC_LEN,DIM_A_LEADING,DIM_Q_LEADING,DIM_R_LEADING,COMPILE,SIM,FUNC,Latency_first (ns),Latency (ns),Throughput (MSa/s),Initation Interval_avg (ns),cycleCountAvg,throughputCycleCount (MSa/s),NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
qrd,1,cfloat,8,4,4,1,0,0,0,1,1,1,2492.8,4767.25,52.06,2456.8,2784.0,57.47,4.0,1.0,1.0,2.0,4077.0,2102
qrd,22,cfloat,16,8,8,4,0,0,0,1,1,1,50529.6,114329.6,17.8,57523.2,60171.0,17.86,16.0,4.0,4.0,8.0,26868.0,4182 4066 4066 5688
qrd,1,cfloat,24,4,1,1,0,0,0,1,1,1,1163.2,2159.25,85.05,1127.2,1186.0,101.18,4.0,1.0,1.0,2.0,3309.0,2388
qrd,2,float,224,16,3,2,1,0,0,1,1,1,516027.2,1106637.22,19.28,557624.86,694017.0,19.36,16.0,2.0,2.0,5.0,93738.0,8960 10000
qrd,1,float,936,16,1,7,0,0,0,1,1,1,29235.2,138237.6,209.93,71335.13,87516.0,213.9,32.0,7.0,7.0,13.0,157217.0,2370 3032 3032 2408 2408 3032 2996
qrd,22,cfloat,240,40,3,7,1,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,80,16,7,4,1,0,0,1,1,1,304985.59,634874.45,27.99,318926.51,334829.0,28.09,20.0,4.0,4.0,8.0,85944.0,2950 4086 4036 4070
qrd,2,float,32,8,6,1,1,0,0,1,1,1,91184.0,181206.61,16.84,91182.05,112411.0,17.08,4.0,1.0,1.0,2.0,15381.0,8832
qrd,2,cfloat,80,12,1,5,1,0,0,1,1,1,38401.6,162410.85,11.78,81486.89,101731.0,11.79,20.0,5.0,5.0,7.0,26906.0,9344 10864 10864 9456 10624
qrd,2,cfloat,212,4,3,1,0,0,0,1,1,1,186619.2,369159.57,13.63,186578.05,228109.0,13.94,8.0,1.0,1.0,2.0,44222.0,9344
qrd,1,float,288,8,7,3,0,0,0,1,1,1,67145.6,132403.09,232.13,69305.71,83040.0,242.77,21.0,3.0,3.0,6.0,138633.0,2490 3138 3102
qrd,2,float,232,184,1,6,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,cfloat,48,8,4,3,0,0,0,1,1,1,111160.0,250282.74,12.21,125718.03,156529.0,12.26,12.0,3.0,3.0,5.0,32092.0,9488 11024 10784
qrd,2,cfloat,8,4,1,3,0,0,0,1,1,1,1923.2,8585.24,14.84,2154.97,2789.0,14.34,12.0,3.0,3.0,5.0,5148.0,8976 9152 8896
qrd,2,float,872,8,5,3,1,0,0,default,default,default,,,,,,,,,,,,
qrd,1,float,128,32,2,4,1,0,0,1,1,1,87104.0,210217.6,76.76,106720.0,132272.0,77.41,18.0,4.0,4.0,8.0,81591.0,2520 3302 3260 3228
qrd,2,cfloat,100,20,2,1,1,0,0,default,default,default,,,,,,,,,,,,
qrd,22,cfloat,56,48,2,10,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,856,32,5,10,1,0,0,default,default,default,,,,,,,,,,,,
qrd,2,cfloat,20,4,6,2,1,0,0,1,1,1,35931.19,72027.2,13.22,36253.02,45200.0,13.27,8.0,2.0,2.0,4.0,11645.0,9440 9328
qrd,22,float,80,48,2,1,0,0,0,default,default,default,,,,,,,,,,,,
qrd,1,cfloat,100,4,5,3,0,0,0,1,1,1,11438.4,22697.7,164.69,12144.0,14218.0,175.83,12.0,3.0,3.0,4.0,39401.0,2488 2638 2544
qrd,1,cfloat,892,4,1,2,0,0,0,1,1,1,16888.0,36286.4,176.14,20256.0,23783.0,187.52,14.0,2.0,2.0,5.0,74395.0,2448 2464
qrd,22,float,432,32,1,7,1,0,0,1,1,1,321136.0,1180558.39,23.32,592678.15,621621.0,23.35,34.0,7.0,7.0,14.0,136962.0,2758 3990 3974 3974 3974 3974 3958
qrd,22,float,224,32,8,9,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,cfloat,160,8,1,1,1,0,0,1,1,1,165316.79,328478.29,7.74,165209.37,171414.0,7.84,6.0,1.0,1.0,2.0,23741.0,4100
qrd,2,cfloat,408,4,1,2,0,0,0,1,1,1,69180.8,168566.4,19.14,85226.09,106318.0,19.18,10.0,2.0,2.0,4.0,35645.0,9312 9200
qrd,22,float,48,32,1,4,0,0,0,1,1,1,69620.8,212000.8,14.45,106256.49,111532.0,14.46,16.0,4.0,4.0,8.0,22968.0,2774 3974 3958 3926
qrd,2,cfloat,512,12,1,3,0,0,0,default,default,default,,,,,,,,,,,,
qrd,1,cfloat,92,8,4,1,0,0,0,1,1,1,46270.4,87816.85,63.67,46234.4,51874.0,70.94,8.0,1.0,1.0,3.0,51341.0,2718
qrd,2,float,928,16,2,2,1,0,0,default,default,default,,,,,,,,,,,,
qrd,22,cfloat,32,16,7,3,1,0,0,default,default,default,,,,,,,,,,,,
qrd,1,float,56,48,4,3,1,0,0,1,1,1,269441.59,575338.98,36.97,290775.13,361457.0,37.18,23.0,3.0,3.0,7.0,127913.0,2506 3266 3202
qrd,2,float,32,24,8,9,0,0,0,1,1,1,212932.8,446788.9,27.35,224585.35,281049.0,27.32,36.0,9.0,9.0,16.0,81597.0,8800 10336 10208 10208 10208 10208 8992 10208 10032
qrd,2,cfloat,12,8,8,1,0,0,0,1,1,1,149569.6,297755.41,5.13,149455.88,185262.0,5.18,4.0,1.0,1.0,2.0,17918.0,9392
qrd,22,float,720,208,1,10,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,16,16,1,2,1,0,0,1,1,1,11209.6,27444.0,18.63,13738.33,14382.0,18.69,8.0,2.0,2.0,4.0,6108.0,1908 2692
qrd,2,cfloat,608,4,3,3,0,0,0,1,1,1,271436.8,654540.68,22.09,330151.26,410014.0,22.24,22.0,3.0,3.0,5.0,136028.0,9392 9648 9328
qrd,2,cfloat,52,8,1,2,0,0,0,1,1,1,27800.0,83635.08,9.9,41991.63,52278.0,9.94,8.0,2.0,2.0,4.0,10877.0,9328 10656
qrd,22,cfloat,536,8,3,6,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,432,8,3,1,1,0,0,1,1,1,374016.0,739725.22,27.72,373977.37,457067.0,28.35,14.0,1.0,1.0,3.0,86869.0,8736
qrd,1,float,16,16,5,2,0,0,0,1,1,1,23452.8,47757.76,52.83,24168.8,29889.0,53.53,8.0,2.0,2.0,4.0,18395.0,2044 2880
qrd,2,float,128,8,5,6,0,0,0,1,1,1,87136.0,194625.71,52.22,98045.16,122162.0,52.38,24.0,6.0,6.0,8.0,53886.0,8752 8928 8944 8944 8944 8784
qrd,1,cfloat,100,80,1,7,0,0,0,1,1,1,191401.6,730346.4,21.76,367544.73,458327.0,21.81,36.0,7.0,7.0,15.0,194977.0,2592 3348 3348 3844 3756 3756 3708
qrd,22,float,224,16,5,8,0,0,0,1,1,1,383563.2,836949.86,42.42,422415.5,442456.0,42.52,43.0,8.0,8.0,14.0,167280.0,2838 4020 2872 2872 2872 2872 4020 4004
qrd,1,cfloat,4,4,8,2,0,0,0,1,1,1,2328.0,4488.0,55.86,2289.48,2771.0,57.74,8.0,2.0,2.0,4.0,6043.0,2258 2098
qrd,22,float,912,48,2,10,1,0,0,default,default,default,,,,,,,,,,,,
qrd,2,cfloat,36,4,2,3,0,0,0,1,1,1,12398.4,32376.91,17.7,16269.16,20285.0,17.74,12.0,3.0,3.0,5.0,10044.0,9376 9632 9376
qrd,1,cfloat,12,8,2,1,0,0,0,1,1,1,5001.6,9683.94,38.64,4966.62,5793.0,41.42,4.0,1.0,1.0,2.0,5645.0,2332
qrd,2,float,56,24,3,5,1,0,0,1,1,1,176009.6,406449.71,19.77,203931.81,254648.0,19.79,20.0,5.0,5.0,7.0,47433.0,9088 10192 10176 10176 9984
qrd,2,cfloat,4,4,1,1,1,0,0,1,1,1,3716.8,14705.84,4.34,3675.2,4538.0,4.4,4.0,1.0,1.0,2.0,1854.0,8272
qrd,2,float,352,48,1,2,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,96,80,3,4,1,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,48,32,7,1,1,0,0,default,default,default,,,,,,,,,,,,
qrd,22,cfloat,16,16,1,6,1,0,0,1,1,1,10084.79,29648.4,17.19,14884.64,16059.0,16.73,24.0,6.0,6.0,11.0,15726.0,4022 5750 5672 3976 5672 5608
qrd,22,cfloat,32,16,1,8,0,0,0,1,1,1,20683.2,63423.13,16.12,31741.46,34136.0,15.74,32.0,8.0,8.0,16.0,24040.0,4136 5992 4232 4232 4232 4232 5992 5976
qrd,2,float,160,32,8,3,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,cfloat,40,8,1,5,0,0,0,1,1,1,7304.0,36784.61,17.35,18437.06,19403.0,17.31,20.0,5.0,5.0,9.0,14577.0,4088 4232 4232 4232 5960
qrd,2,float,200,32,2,1,1,0,0,default,default,default,,,,,,,,,,,,
qrd,2,cfloat,24,12,2,1,1,0,0,1,1,1,131025.6,261094.72,4.39,130971.88,162536.0,4.42,4.0,1.0,1.0,2.0,13150.0,9632
qrd,22,float,448,32,3,4,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,24,8,4,5,1,0,0,1,1,1,19155.2,48927.31,31.29,24538.7,30656.0,31.31,20.0,5.0,5.0,7.0,14793.0,8656 8656 8656 8656 9760
qrd,1,cfloat,84,80,6,10,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,408,64,6,10,1,0,0,default,default,default,,,,,,,,,,,,
qrd,2,cfloat,264,68,1,6,1,0,0,default,default,default,,,,,,,,,,,,
qrd,1,float,8,8,4,6,1,0,0,1,1,1,1260.8,2425.7,209.04,1223.42,1495.0,214.04,24.0,6.0,6.0,11.0,11987.0,2082 1968 1968 1968 1968 1962
qrd,2,cfloat,68,68,1,3,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,cfloat,56,4,6,1,1,0,0,1,1,1,110699.2,219242.24,12.14,110667.77,135602.0,12.38,6.0,1.0,1.0,2.0,24158.0,9376
qrd,1,cfloat,4,4,3,2,0,0,0,1,1,1,929.6,1787.2,53.76,891.08,1063.0,56.44,8.0,2.0,2.0,4.0,4123.0,2216 2082
qrd,1,float,832,8,7,7,0,0,0,default,default,default,,,,,,,,,,,,
qrd,1,float,48,16,1,1,0,0,0,1,1,1,13502.4,26376.85,57.02,13466.4,16034.0,59.87,4.0,1.0,1.0,2.0,8813.0,2344
qrd,2,float,480,24,1,1,0,0,0,default,default,default,,,,,,,,,,,,
qrd,1,cfloat,108,8,2,3,0,0,0,1,1,1,13116.8,33113.82,100.35,17218.09,20689.0,104.4,12.0,3.0,3.0,4.0,35625.0,2640 3262 3210
qrd,22,float,288,160,3,10,1,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,368,320,1,9,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,112,16,3,5,0,0,0,1,1,1,137848.0,317463.31,33.67,159621.16,167370.0,33.72,22.0,5.0,5.0,9.0,55590.0,2806 4038 4020 4020 3988
qrd,22,cfloat,160,112,2,9,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,824,16,3,5,1,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,296,16,2,10,1,0,0,1,1,1,145867.2,423131.77,44.52,212715.81,265231.0,44.64,42.0,10.0,10.0,21.0,103954.0,8784 10048 8960 8960 8960 8960 8960 8960 8960 9872
qrd,22,float,48,16,5,1,1,0,0,1,1,1,322363.2,641101.86,11.91,322306.17,334690.0,12.04,6.0,,,,,
qrd,1,cfloat,172,4,2,3,0,0,0,1,1,1,6108.8,15220.68,169.22,8131.07,9498.0,181.09,12.0,3.0,3.0,7.0,30761.0,2562 2676 2598
qrd,22,float,32,16,1,3,1,0,0,1,1,1,13379.2,36591.54,27.88,18360.24,19282.0,27.88,12.0,3.0,3.0,6.0,9866.0,2372 3364 3316
qrd,2,float,256,72,3,4,1,0,0,default,default,default,,,,,,,,,,,,
qrd,1,cfloat,24,12,8,8,0,0,0,1,1,1,22232.0,48695.2,92.41,24932.06,30757.0,93.63,32.0,8.0,8.0,16.0,59247.0,2890 2640 2640 2640 2640 2640 2640 3346
qrd,2,cfloat,116,4,6,1,1,0,0,1,1,1,211774.4,418950.72,13.15,211676.57,258980.0,13.43,8.0,1.0,1.0,2.0,47678.0,9392
qrd,2,cfloat,68,24,4,2,1,0,0,default,default,default,,,,,,,,,,,,
qrd,1,float,640,8,1,1,0,0,0,1,1,1,32011.2,59912.85,160.11,31975.2,34818.0,183.81,8.0,1.0,1.0,3.0,45229.0,2358
qrd,2,float,168,8,4,2,0,0,0,1,1,1,148652.79,321304.85,33.09,162421.41,201173.0,33.4,10.0,2.0,2.0,4.0,48234.0,8784 9936
qrd,2,cfloat,16,4,2,2,0,0,0,1,1,1,10036.79,20907.73,12.17,10513.35,13131.0,12.18,8.0,2.0,2.0,4.0,5437.0,9440 9360
qrd,2,float,72,16,7,9,1,0,0,1,1,1,189020.8,407676.69,39.26,205358.03,256220.0,39.34,38.0,9.0,9.0,16.0,87133.0,8976 10144 8976 8976 8960 8960 8976 10144 9968
qrd,1,float,144,56,6,6,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,224,16,1,1,0,0,0,1,1,1,265556.8,528139.41,13.5,265449.25,275849.0,13.64,6.0,1.0,1.0,2.0,32046.0,2674
qrd,2,cfloat,684,4,7,3,1,0,0,default,default,default,,,,,,,,,,,,
qrd,1,float,24,8,1,2,1,0,0,1,1,1,1243.2,3664.8,103.75,1850.33,2213.0,108.45,8.0,2.0,2.0,4.0,4891.0,1968 2666
qrd,1,cfloat,968,8,1,4,0,0,0,1,1,1,34435.19,137287.2,107.98,71711.13,86387.0,112.05,28.0,4.0,4.0,9.0,161207.0,2464 2512 2512 3134
qrd,2,float,224,24,4,4,1,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,960,112,1,8,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,816,48,1,4,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,cfloat,8,4,5,3,1,0,0,1,1,1,9478.4,21294.97,14.98,10679.5,13390.0,14.93,12.0,3.0,3.0,5.0,7708.0,9104 9264 9040
qrd,22,float,112,112,1,1,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,cfloat,96,8,7,3,0,0,0,1,1,1,360512.0,763288.85,13.98,384545.6,401979.0,14.04,20.0,3.0,3.0,6.0,96311.0,4280 6088 6088
qrd,22,float,16,16,4,5,0,0,0,1,1,1,20948.8,45049.71,45.26,22617.23,23974.0,44.84,20.0,5.0,5.0,9.0,19878.0,2052 2804 2724 2724 2692
qrd,1,float,272,8,2,2,0,0,0,1,1,1,20172.8,45876.8,181.34,23998.4,28407.0,191.5,10.0,2.0,2.0,4.0,40411.0,2456 3116
qrd,1,cfloat,360,8,7,7,0,0,0,default,default,default,,,,,,,,,,,,
qrd,1,cfloat,80,4,1,3,0,0,0,1,1,1,937.6,3833.6,158.85,2014.4,2343.0,170.72,12.0,3.0,3.0,7.0,11529.0,2422 2534 2448
qrd,22,float,432,16,4,2,1,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,176,16,8,4,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,cfloat,256,4,8,2,1,0,0,1,1,1,429224.0,856958.08,18.89,433197.82,538628.0,19.01,20.0,2.0,2.0,5.0,139069.0,9472 9328
qrd,1,cfloat,108,52,3,10,0,0,0,1,1,1,322881.59,826582.4,40.46,416371.2,518349.0,40.62,61.0,10.0,10.0,18.0,357643.0,2688 3424 3408 3392 3376 3376 3704 3704 3704 3328
qrd,2,cfloat,52,8,6,6,1,0,0,1,1,1,121025.6,260853.22,18.98,131500.67,164320.0,18.98,24.0,6.0,6.0,8.0,54137.0,9520 9568 9568 9568 9568 9360
qrd,1,cfloat,40,4,8,3,0,0,0,1,1,1,8537.6,16310.4,148.09,8631.2,10175.0,157.24,12.0,3.0,3.0,7.0,26825.0,2504 2638 2544
qrd,1,cfloat,80,28,1,2,0,0,0,1,1,1,66795.2,172692.8,25.58,87534.4,108058.0,25.91,10.0,2.0,2.0,5.0,46299.0,2576 3396
qrd,2,float,168,144,2,4,0,0,0,default,default,default,,,,,,,,,,,,
qrd,1,cfloat,8,8,2,3,0,0,0,1,1,1,1560.0,4151.77,61.02,2097.35,2544.0,62.89,12.0,3.0,3.0,7.0,7625.0,2152 2690 2664
qrd,2,float,216,16,1,6,1,0,0,1,1,1,43707.2,199499.77,34.47,100234.46,125061.0,34.54,24.0,6.0,6.0,8.0,42430.0,8624 9936 9888 8768 9888 9696
qrd,2,cfloat,12,8,4,2,1,0,0,1,1,1,48078.4,104003.3,7.34,52306.95,65132.0,7.36,8.0,2.0,2.0,4.0,11261.0,9520 10816
qrd,2,cfloat,68,16,2,3,0,0,0,1,1,1,261152.0,621970.05,6.97,311924.92,389327.0,6.98,14.0,3.0,3.0,5.0,44860.0,9712 11120 10848
qrd,2,cfloat,8,8,8,3,0,0,0,1,1,1,45753.6,93954.66,10.84,47089.6,59011.0,10.84,12.0,3.0,3.0,5.0,16796.0,9376 10544 10336
qrd,2,float,128,24,5,9,1,0,0,default,default,default,,,,,,,,,,,,
qrd,2,cfloat,36,4,3,1,1,0,0,1,1,1,38568.0,76473.17,11.2,38546.62,47287.0,11.41,4.0,1.0,1.0,2.0,9022.0,9328
qrd,1,cfloat,608,24,2,10,0,0,0,1,1,1,197840.0,707073.82,81.87,356425.23,440831.0,82.75,88.0,10.0,10.0,30.0,539339.0,3296 3348 3348 3348 3348 3348 3442 3442 3442 2720
qrd,22,float,160,32,4,2,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,64,16,2,8,0,0,0,1,1,1,40512.0,102399.77,39.78,51472.61,64747.0,39.53,32.0,8.0,8.0,14.0,31912.0,8800 10032 8944 8944 8944 8944 10032 9840
qrd,22,cfloat,88,40,1,7,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,cfloat,972,16,5,10,1,0,0,default,default,default,,,,,,,,,,,,
qrd,1,float,24,8,4,2,0,0,0,1,1,1,6824.0,14264.32,105.02,7312.49,8834.0,108.67,8.0,2.0,2.0,4.0,10267.0,2088 2770
qrd,2,cfloat,644,4,3,1,0,0,0,1,1,1,550024.0,1087709.65,14.05,549997.82,672021.0,14.37,18.0,1.0,1.0,3.0,130622.0,9344
qrd,22,float,368,16,2,4,1,0,0,1,1,1,326140.8,804684.91,29.07,405074.09,423643.0,29.18,24.0,4.0,4.0,8.0,107960.0,2806 4054 4052 4038
qrd,22,cfloat,464,16,1,8,0,0,0,1,1,1,283409.59,1200943.88,12.31,602644.92,632301.0,12.32,36.0,8.0,8.0,15.0,162280.0,4152 6008 4248 4248 4248 4248 6008 5992
qrd,2,float,120,32,5,5,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,48,32,7,3,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,176,40,1,2,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,64,56,8,2,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,416,32,7,7,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,32,8,7,3,1,0,0,1,1,1,63824.0,134193.38,26.53,67551.5,84103.0,26.63,12.0,3.0,3.0,5.0,20799.0,8800 10096 9920
qrd,22,float,432,128,1,5,0,0,0,default,default,default,,,,,,,,,,,,
qrd,1,cfloat,8,4,1,1,0,0,0,1,1,1,681.6,1298.45,49.44,645.6,712.0,56.17,4.0,1.0,1.0,2.0,2157.0,2006
qrd,22,cfloat,128,8,1,6,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,96,80,8,4,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,32,32,1,2,1,0,0,1,1,1,81611.2,198797.02,10.27,99660.92,104383.0,10.3,8.0,2.0,2.0,4.0,15452.0,2532 3396
qrd,22,cfloat,24,24,6,1,0,0,0,default,default,default,,,,,,,,,,,,
qrd,1,float,48,32,2,1,1,0,0,1,1,1,103892.8,205302.82,29.58,103850.74,126710.0,30.3,6.0,1.0,1.0,2.0,34413.0,2430
qrd,2,float,488,64,2,4,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,cfloat,120,16,1,3,1,0,0,1,1,1,170723.2,502402.17,7.61,252011.2,264375.0,7.62,14.0,3.0,3.0,6.0,40055.0,4168 6008 5992
qrd,1,cfloat,412,24,4,10,0,0,0,default,default,default,,,,,,,,,,,,
qrd,1,cfloat,60,8,2,4,0,0,0,1,1,1,7544.0,18808.91,98.35,9760.24,11852.0,101.24,16.0,4.0,4.0,8.0,24119.0,2640 2646 2646 3210
qrd,1,cfloat,76,4,3,1,0,0,0,1,1,1,8206.4,14940.05,111.6,8170.4,8358.0,136.39,4.0,1.0,1.0,2.0,17037.0,2500
qrd,1,cfloat,12,4,7,1,0,0,0,1,1,1,5052.8,9554.45,66.95,5016.8,5568.0,75.43,4.0,1.0,1.0,2.0,7821.0,2268
qrd,1,cfloat,592,12,3,10,0,0,0,1,1,1,121707.2,330577.59,126.78,168100.8,206806.0,128.81,68.0,10.0,10.0,21.0,406347.0,2558 3334 2608 2608 2608 2608 2608 2608 2608 2576
qrd,1,cfloat,36,32,1,8,0,0,0,1,1,1,10502.4,44471.2,51.14,22522.33,27988.0,51.45,32.0,8.0,8.0,16.0,40559.0,2768 3316 3268 3268 3268 3218 3268 3220
qrd,2,cfloat,1016,8,3,6,1,0,0,default,default,default,,,,,,,,,,,,
qrd,1,float,64,8,2,1,1,0,0,1,1,1,8764.79,16688.42,117.33,8725.94,9852.0,129.92,4.0,1.0,1.0,2.0,10413.0,2408
qrd,22,float,320,64,2,10,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,360,8,1,5,1,0,0,1,1,1,20112.0,118658.62,48.22,59723.81,74122.0,48.56,20.0,5.0,5.0,7.0,37641.0,8592 8768 8768 8768 9696
qrd,1,float,40,40,5,8,0,0,0,1,1,0,93228.8,201035.41,78.5,101900.55,126830.0,78.84,35.0,8.0,8.0,15.0,108911.0,2426 3186 3442 3442 3362 3362 3362 3410
qrd,1,cfloat,172,48,1,8,0,0,0,1,1,1,104025.6,421137.02,38.78,212877.9,264995.0,38.94,38.0,8.0,8.0,13.0,173167.0,2576 3540 3428 3380 3380 3380 3316 3332
qrd,1,float,344,8,1,1,0,0,0,1,1,1,17806.4,33394.45,154.87,17767.2,19426.0,177.08,6.0,1.0,1.0,2.0,25101.0,2342
qrd,1,float,360,160,1,10,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,cfloat,432,8,4,3,1,0,0,default,default,default,,,,,,,,,,,,
qrd,2,float,144,8,7,1,0,0,0,1,1,1,320953.59,635506.24,25.12,320935.2,393089.0,25.64,10.0,1.0,1.0,2.0,68309.0,8864
qrd,22,float,128,16,4,2,1,0,0,1,1,1,407219.2,846548.8,19.2,425142.97,445691.0,19.29,14.0,2.0,2.0,5.0,73564.0,2902 4070
qrd,2,float,264,8,7,1,0,0,0,1,1,1,550865.6,1089963.94,26.83,550855.77,673761.0,27.42,18.0,1.0,1.0,3.0,122549.0,8864
qrd,22,float,80,16,7,1,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,288,32,7,4,0,0,0,default,default,default,,,,,,,,,,,,
qrd,22,float,928,32,1,2,0,0,0,default,default,default,,,,,,,,,,,,
qrd,2,cfloat,364,4,5,1,1,0,0,1,1,1,524104.0,1036553.6,13.89,524068.57,640487.0,14.2,18.0,1.0,1.0,3.0,121470.0,9376
qrd,1,cfloat,8,8,1,6,0,0,0,1,1,1,452.8,1648.0,115.1,555.91,682.0,117.3,24.0,6.0,6.0,11.0,10643.0,2060 2452 2452 2452 2452 2436
qrd,22,float,64,48,2,5,0,0,0,1,1,1,418886.4,1035148.45,11.84,518598.15,544524.0,11.84,22.0,5.0,5.0,9.0,76134.0,2822 4230 4182 4134 4134
qrd,1,float,48,16,4,3,0,0,0,1,1,1,29401.6,61251.94,97.97,31354.33,38662.0,99.32,12.0,3.0,3.0,4.0,33609.0,2618 3202 3154
qrd,22,float,48,16,5,6,0,0,0,1,1,1,89910.4,194497.49,39.16,98048.0,102907.0,39.18,24.0,6.0,6.0,11.0,45716.0,2838 4054 4020 2840 4020 3988
qrd,1,cfloat,160,4,1,1,0,0,0,1,1,1,5406.4,9775.25,119.13,5370.4,5402.0,148.09,4.0,1.0,1.0,2.0,13101.0,2388
qrd,1,float,64,8,8,1,0,0,0,1,1,1,34801.6,66313.7,117.8,34766.4,39331.0,130.17,6.0,1.0,1.0,2.0,36525.0,2570
qrd,1,float,144,56,2,3,0,0,0,1,1,1,357086.4,886509.6,36.12,446450.33,554880.0,36.33,25.0,3.0,3.0,7.0,160201.0,2536 3292 3244
qrd,2,float,88,40,6,3,1,0,0,default,default,default,,,,,,,,,,,,
qrd,2,cfloat,316,4,4,3,1,0,0,1,1,1,201907.2,460054.17,21.79,232013.53,288063.0,21.93,20.0,3.0,3.0,5.0,93308.0,9408 9648 9344
qrd,2,float,64,24,4,10,1,0,0,1,1,1,152262.4,350038.05,34.96,175695.5,220118.0,34.89,40.0,10.0,10.0,21.0,75218.0,9024 10208 10144 10144 10144 8960 10144 8960 10144 9968
qrd,22,cfloat,32,32,3,5,1,0,0,default,default,default,,,,,,,,,,,,
