UUT_KERNEL,AIE_VARIANT,DATA_TYPE,DIM_SIZE,SUBST_TYPE,L_LEADING,GRID_DIM,NUM_FRAMES,DIAG_INV,COMPILE,SIM,FUNC,Latency_first (ns),Latency (ns),Throughput (MSa/s),Initation Interval_avg (ns),cycleCountAvg,throughputCycleCount (MSa/s),NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
substitution,22,float,480,0,0,5,1,1,1,1,0,57910.4,201969.25,4.55,105293.78,112660.0,4.48,120.0,15.0,15.0,32.0,597800.0,2502 2502 5638 2486 2502 2502 2502 5582 2486 2502 5638 5636 5638 2486 2486
substitution,2,cfloat,144,0,0,3,2,1,1,1,1,99859.2,248884.45,2.24,128091.93,153692.0,2.35,49.0,6.0,6.0,13.0,243951.0,2256 2288 5952 2256 6000 5968
substitution,1,cfloat,16,0,0,2,3,0,default,default,default,,,,,,,,,,,,
substitution,2,float,160,0,0,2,1,1,1,1,1,31110.4,68118.39,4.37,36580.92,40884.0,4.97,24.0,3.0,3.0,6.0,85812.0,2032 5456 5488
substitution,22,cfloat,240,0,0,3,1,0,1,1,1,127732.8,718648.0,0.65,364387.19,377382.0,0.66,61.0,6.0,6.0,13.0,330540.0,2844 2860 6394 6464 2844 6448
substitution,22,float,672,0,0,7,1,1,default,default,default,,,,,,,,,,,,
substitution,1,float,64,0,0,4,3,0,1,1,1,1857.6,3064.64,106.19,1806.97,1538.0,156.04,46.0,10.0,10.0,18.0,50528.0,2032 3060 2046 2094 3060 2032 3012 2096 2096 3024
substitution,1,cfloat,80,0,0,2,2,1,default,default,default,,,,,,,,,,,,
substitution,1,cfloat,28,0,0,7,3,1,default,default,default,,,,,,,,,,,,
substitution,2,cfloat,120,0,0,5,1,1,1,1,1,14113.6,36716.22,6.38,18783.63,26056.0,6.48,66.0,15.0,15.0,27.0,100590.0,2208 5952 5920 2224 2208 5952 2208 2224 2224 5952 2224 2208 2224 2224 5888
substitution,1,cfloat,28,0,0,7,4,1,default,default,default,,,,,,,,,,,,
substitution,1,cfloat,24,0,0,1,3,0,default,default,default,,,,,,,,,,,,
substitution,22,cfloat,112,0,0,2,1,0,1,1,1,70979.2,230732.22,0.95,117817.47,120747.0,1.01,23.0,3.0,3.0,6.0,85847.0,6448 2844 6374
substitution,2,float,168,0,0,3,1,0,1,1,1,31387.2,60202.77,5.36,31323.54,38725.0,5.5,36.0,6.0,6.0,12.0,89766.0,2000 2048 7232 2000 7376 7328
substitution,1,cfloat,40,0,0,5,3,1,default,default,default,,,,,,,,,,,,
substitution,2,cfloat,24,0,0,3,3,0,1,1,1,16636.8,32958.18,4.33,16602.28,20963.0,4.34,28.0,6.0,6.0,11.0,21039.0,2272 2304 7680 2288 7760 7776
substitution,2,float,96,0,0,4,2,1,1,1,1,13326.4,25702.61,14.46,13273.02,16990.0,14.9,46.0,10.0,10.0,19.0,66344.0,2032 5616 2032 2064 5616 5552 2064 2032 2064 5504
substitution,1,float,112,0,0,7,2,0,1,1,1,1280.0,2098.98,182.88,1224.11,1257.0,257.35,119.0,28.0,28.0,51.0,106494.0,2030 2078 3076 2016 2080 2080 3076 2016 2080 2080 2080 3076 2996 2016 2080 2080 2080 2080 2080 3024 2016 3076 2080 2016 2080 2080 2080 3076
substitution,2,float,48,0,0,3,1,0,1,1,1,7768.0,15299.84,6.22,7715.08,9975.0,6.17,28.0,6.0,6.0,12.0,15846.0,2048 2096 7104 2048 7216 7552
substitution,2,cfloat,320,0,0,4,1,1,1,1,0,77001.6,468238.62,1.33,239219.32,289515.0,1.46,97.0,10.0,10.0,22.0,549942.0,2208 2240 2240 5888 5904 2208 2240 5936 5936 2208
substitution,2,cfloat,16,0,0,2,2,1,1,1,1,7644.8,15033.17,4.22,7581.94,9537.0,4.33,15.0,3.0,3.0,6.0,8537.0,2288 5680 5760
substitution,22,cfloat,96,0,0,3,1,1,1,1,1,30169.6,87467.2,2.16,44424.66,48128.0,2.09,28.0,6.0,6.0,11.0,64044.0,2844 2860 6330 6384 2844 6368
substitution,22,float,224,0,0,2,1,0,1,1,1,73390.39,219017.6,1.94,115413.29,110764.0,2.13,32.0,3.0,3.0,6.0,160777.0,5684 2486 5594
substitution,22,float,560,0,0,5,1,0,1,1,1,73376.0,379439.75,2.86,195617.46,204357.0,2.88,151.0,15.0,15.0,33.0,801640.0,2502 2502 5686 2486 2502 2502 2502 5598 2486 2502 5686 5684 2486 5686 2486
substitution,22,float,32,0,0,1,2,0,1,1,1,24481.6,47087.68,2.61,24448.34,23593.0,2.84,6.0,1.0,1.0,3.0,10670.0,5650
substitution,22,float,96,0,0,2,3,1,1,1,1,63606.4,120725.22,4.52,63582.05,61101.0,4.99,22.0,3.0,3.0,5.0,93833.0,5732 2420 5674
substitution,2,float,280,0,0,7,2,0,1,1,1,42310.4,81812.9,13.28,42157.14,55086.0,14.01,146.0,28.0,28.0,63.0,426062.0,2032 2064 2032 7408 2064 2064 2064 7408 7408 2032 2064 2032 2064 2064 2064 7408 2064 2032 2064 2064 2064 2064 7328 2064 2064 2032 7408 7376
substitution,1,float,336,0,0,7,2,1,1,1,0,7824.0,15214.4,71.33,9420.06,7718.0,111.03,160.0,28.0,28.0,61.0,587646.0,1900 1928 1928 1928 1928 1928 2988 3040 1912 1928 1928 1900 1928 3040 1900 2998 1900 1928 1928 1928 3040 1900 3040 1928 1928 1928 1900 3040
substitution,1,float,256,0,0,8,2,1,1,1,1,3752.0,6506.28,126.48,4048.86,3429.0,211.64,153.0,36.0,36.0,70.0,373664.0,3126 1900 1928 1928 3126 1900 1928 1928 1928 3126 1900 1928 1928 1928 1928 3126 1900 1928 1928 1928 1928 1928 3126 3084 1900 1928 1928 1928 1928 1928 1928 3084 1900 3126 1900 1928
substitution,2,cfloat,84,0,0,3,2,1,1,1,1,34286.4,81267.08,4.0,41925.86,51425.0,4.13,36.0,6.0,6.0,12.0,93231.0,2256 2288 5968 2256 6016 6048
substitution,22,cfloat,16,0,0,2,2,1,1,1,1,9824.0,19326.29,3.29,9716.22,10371.0,3.32,14.0,3.0,3.0,4.0,8727.0,6516 2792 6410
substitution,1,float,192,0,0,4,2,1,1,1,1,6651.2,12519.2,47.63,8058.95,5757.0,84.53,59.0,10.0,10.0,24.0,210528.0,1900 1928 1928 2988 2998 1900 1928 3040 1900 3040
substitution,22,cfloat,224,0,0,7,4,0,default,default,default,,,,,,,,,,,,
substitution,22,float,32,0,0,2,1,0,1,1,1,5385.6,10553.6,6.0,5329.25,5674.0,6.22,14.0,3.0,3.0,4.0,8073.0,5748 2368 5662
substitution,2,cfloat,100,0,0,5,2,0,1,1,1,31096.0,60810.88,6.45,31006.62,40797.0,6.54,66.0,15.0,15.0,26.0,132110.0,2256 7824 7792 2288 2256 7824 2256 2288 2288 7824 2288 2256 2288 2288 7776
substitution,22,cfloat,48,0,0,2,3,1,1,1,1,60008.0,117128.96,2.4,59887.08,61319.0,2.48,18.0,3.0,3.0,6.0,52183.0,6544 2808 6478
substitution,1,float,16,0,0,2,4,0,1,1,1,995.2,1738.77,67.48,948.8,897.0,89.18,15.0,3.0,3.0,6.0,8520.0,1776 2514 2564
substitution,1,float,24,0,0,3,4,0,1,1,1,995.2,1738.77,101.22,948.8,941.0,127.52,28.0,6.0,6.0,12.0,16750.0,1776 1782 2514 1776 2612 2564
substitution,1,cfloat,60,0,0,5,2,1,default,default,default,,,,,,,,,,,,
substitution,2,cfloat,104,0,0,2,2,1,1,1,1,95260.8,211725.02,1.88,110153.23,128499.0,2.03,29.0,3.0,3.0,6.0,142265.0,2256 5952 5968
substitution,2,float,720,0,0,6,1,1,1,1,0,56147.2,406880.34,3.44,209093.29,251220.0,3.7,224.0,21.0,21.0,45.0,1280028.0,2048 5520 5472 2032 2048 2048 2048 2048 5456 2032 2048 2048 5520 2048 2032 5504 5504 2016 2000 2048 2048
substitution,1,float,48,0,0,3,3,1,1,1,1,1864.0,3054.5,79.57,1810.4,1508.0,119.36,29.0,6.0,6.0,13.0,30574.0,2046 2094 2968 2032 3028 2964
substitution,22,cfloat,48,0,0,1,3,0,1,1,1,167022.4,322641.28,0.86,166806.74,163613.0,0.92,11.0,1.0,1.0,2.0,60275.0,6402
substitution,1,float,72,0,0,3,1,0,1,1,1,1152.0,1811.52,65.04,1106.17,859.0,104.77,30.0,6.0,6.0,13.0,24622.0,1812 1874 3188 1812 3236 3252
substitution,22,cfloat,16,0,0,1,4,0,1,1,1,45684.8,89698.98,1.4,45608.68,46215.0,1.45,6.0,1.0,1.0,3.0,11635.0,6484
